zip,date,911-score
17329,2016-04-01,9.96875
17329,2016-08-01,9.96875
17352,2016-06-01,9.96875
17352,2016-11-01,9.9375
17352,2016-12-01,9.9375
17352,2017-04-01,9.96875
17352,2017-12-01,9.96875
17352,2018-11-01,9.96875
17361,2015-06-01,9.96875
17361,2015-07-01,9.96875
17361,2015-09-01,9.96875
17361,2015-12-01,9.96875
17361,2016-03-01,9.96875
17361,2016-05-01,9.9375
17361,2016-10-01,9.90625
17361,2016-11-01,9.9375
17361,2017-02-01,9.96875
17361,2017-04-01,9.96875
17361,2017-06-01,9.9375
17361,2017-07-01,9.9375
17361,2017-10-01,9.96875
17361,2017-11-01,9.96875
17361,2018-04-01,9.96875
17361,2018-07-01,9.96875
17361,2018-09-01,9.96875
17361,2018-10-01,9.9375
19717,2015-06-01,9.96875
19717,2015-07-01,9.96875
19717,2015-08-01,9.90625
19717,2015-11-01,9.9375
19717,2015-12-01,9.9375
19717,2016-01-01,9.9375
19717,2016-02-01,9.96875
19717,2016-06-01,9.90625
19717,2016-07-01,9.9375
19717,2016-08-01,9.9375
19717,2016-09-01,9.96875
19717,2016-12-01,9.90625
19717,2017-01-01,9.96875
19717,2017-03-01,9.96875
19717,2017-04-01,9.90625
19717,2017-09-01,9.9375
19717,2018-08-01,9.96875
19717,2018-09-01,9.96875
20019,2017-01-01,9.96875
20601,2016-02-01,9.96875
20601,2016-07-01,9.96875
20601,2017-02-01,9.96875
20601,2017-06-01,9.90625
20601,2017-09-01,9.96875
20601,2018-01-01,9.96875
20601,2018-06-01,9.875
20601,2018-10-01,9.96875
20611,2015-05-01,9.96875
20611,2018-06-01,9.96875
20616,2016-04-01,9.96875
20616,2016-08-01,9.96875
20616,2016-11-01,9.96875
20616,2017-01-01,9.96875
20616,2017-08-01,9.96875
20616,2018-01-01,9.90625
20616,2018-04-01,9.96875
20616,2018-07-01,9.96875
20622,2015-05-01,9.96875
20622,2015-06-01,9.96875
20622,2016-11-01,9.96875
20622,2017-10-01,9.96875
20622,2018-06-01,9.96875
20622,2018-07-01,9.96875
20623,2016-08-01,9.96875
