,coord1,coord2,zip
0,38.375599,-76.075798,21626
1,38.4156,-76.986702,20632
2,38.4389,-76.9786,20611
3,38.448898,-76.560799,20685
4,38.461251,-76.469203,20685
5,38.481701,-77.098602,20693
6,38.502499,-76.183601,21677
7,38.521689,-76.776884,20622
8,38.5336,-75.827797,21837
9,38.537201,-77.212502,20658
10,38.5494,-77.039398,20675
11,38.578051,-76.102128,21613
12,38.589174,-76.091586,21613
13,38.60061,-77.15767,20640
14,38.6031,-76.938904,20601
15,38.6036,-75.856903,21643
16,38.609228,-75.946928,21631
17,38.611424,-77.073076,20616
18,38.633173,-77.080811,20616
19,38.637545,-76.895271,20601
20,38.64984,-76.857748,20601
21,38.652623,-76.81548,20613
22,38.685799,-76.980598,20607
23,38.695,-76.064697,21673
24,38.729401,-75.891701,21655
25,38.7356,-76.826698,20623
26,38.7672,-75.819397,21629
27,38.773916,-76.068527,21601
28,38.777802,-76.2108,21663
29,38.778099,-76.540001,20733
30,38.781101,-76.6203,20711
31,38.784951,-77.095183,22303
32,38.802502,-76.537201,20733
33,38.817501,-76.278297,21647
34,38.820301,-76.166702,21663
35,38.820697,-76.816204,20772
36,38.824666,-76.890988,20762
37,38.830402,-75.849146,21629
38,38.840733,-76.726962,20774
39,38.84643,-76.812792,20772
40,38.849378,-76.926006,20746
41,38.850601,-76.894203,20747
42,38.860418,-76.881853,20747
43,38.872799,-76.9244,20019
44,38.874391,-76.921549,20019
45,38.887501,-76.4925,20764
46,38.891102,-76.886101,20743
47,38.895905,-76.839937,20721
48,38.896042,-76.906599,20743
49,38.8964,-76.895302,20743
50,38.897854,-76.911145,20743
51,38.900509,-76.912841,20743
52,38.903099,-76.560799,20764
53,38.916901,-75.928596,21660
54,38.919787,-76.815277,20721
55,38.920601,-76.463097,21403
56,38.923599,-76.523903,20764
57,38.927612,-76.876917,20785
58,38.928299,-76.571899,21140
59,38.931078,-76.468061,21403
60,38.932205,-76.865049,20785
61,38.9333,-76.852203,20706
62,38.936401,-76.892799,20784
63,38.947846,-75.884409,21660
64,38.948601,-76.922203,20710
65,38.949001,-76.933007,20710
66,38.954926,-76.945542,20722
67,38.956699,-76.824997,20769
68,38.959207,-76.910995,20737
69,38.961802,-76.929359,20737
70,38.964199,-77.127197,20812
71,38.967201,-77.133904,20812
72,38.967499,-76.978897,20782
73,38.9683,-76.760002,20715
74,38.969833,-76.712746,20715
75,38.971497,-76.94031,20782
76,38.972401,-76.550201,21401
77,38.973301,-76.974197,20782
78,38.97446,-77.161603,20812
79,38.976247,-75.804336,21639
80,38.977501,-77.194702,20854
81,38.97829,-76.495683,21402
82,38.9814,-76.983597,20912
83,38.98193,-76.509672,21402
84,38.984757,-77.094135,20815
85,38.987195,-76.946,20740
86,38.992028,-76.979753,20783
87,39.001099,-76.992203,20783
88,39.003196,-76.971886,20783
89,39.003378,-75.957969,21657
90,39.006401,-76.490601,21402
91,39.007801,-77.156097,20817
92,39.010601,-77.122498,20814
93,39.012096,-77.069587,20895
94,39.019199,-77.18,20854
95,39.021892,-77.072995,20895
96,39.0275,-77.051102,20902
97,39.027802,-77.016098,20901
98,39.033631,-77.090012,20895
99,39.03896,-76.575853,21405
100,39.039856,-76.910021,20705
101,39.0425,-77.121902,20852
102,39.044991,-77.116851,20852
103,39.045049,-76.064683,21617
104,39.045601,-77.0606,20902
105,39.055801,-77.082199,20895
106,39.055801,-76.502502,21012
107,39.056796,-77.049501,20902
108,39.0583,-76.987801,20904
109,39.061401,-76.851097,20708
110,39.061699,-76.885597,20705
111,39.063501,-76.935545,20904
112,39.065601,-77.082199,20906
113,39.074402,-77.1203,20851
114,39.076698,-76.230003,21661
115,39.078602,-77.119202,20851
116,39.080601,-77.204697,20850
117,39.08419,-77.152896,20851
118,39.092201,-77.0961,20853
119,39.098301,-77.173103,20850
120,39.106701,-77.037498,20906
121,39.1106,-77.036697,20906
122,39.121164,-76.984433,20905
123,39.125,-76.535004,21122
124,39.128502,-76.616379,21061
125,39.133134,-76.720267,21144
126,39.133555,-76.574373,21060
127,39.13574,-76.583012,21060
128,39.135799,-76.9953,20861
129,39.136101,-77.483902,20837
130,39.141727,-76.71205,21077
131,39.142591,-77.173591,20877
132,39.1432,-76.595418,21060
133,39.144362,-76.593925,21060
134,39.14452,-77.411044,20837
135,39.14631,-76.607314,21061
136,39.146343,-76.60727,21061
137,39.1483,-77.224403,20877
138,39.1492,-77.012802,20861
139,39.149402,-76.60683,21061
140,39.150002,-76.518898,21122
141,39.150734,-76.640578,21061
142,39.151742,-76.612271,21061
143,39.153001,-76.632179,21061
144,39.154583,-76.616185,21061
